x	y
686740.4478	5994442.746
686704.1353	5994441.28
686705.3664	5994410.772
686668.9914	5994409.304
686668.99	5994409.339
686668.9894	5994409.339
686667.76	5994439.813
686631.5155	5994438.35
686631.5158	5994438.389
686631.4466	5994438.387
686628.948	5994500.33
686592.5737	5994498.863
686592.5451	5994499.573
686588.1231	5994529.705
686588.1115	5994529.704
686555.013	5994528.37
686553.7653	5994559.314
686514.1238	5994557.716
686408.4026	5994553.455
686408.4015	5994553.482
686408.3935	5994553.482
686407.1004	5994584.027
686298.1791	5994579.64
686299.4102	5994549.066
686247.7926	5994546.987
686226.6614	5994546.137
686227.1404	5994534.236
686227.9059	5994515.218
686227.8944	5994515.217
686227.8954	5994515.192
686191.6631	5994513.734
686192.9063	5994482.84
686192.7642	5994482.842
686192.7676	5994482.757
686156.5345	5994481.299
686157.7753	5994450.458
686157.6964	5994450.455
686157.7017	5994450.323
686048.6401	5994445.937
686047.3947	5994476.909
685902.053	5994471.067
685902.0498	5994471.146
685901.9722	5994471.142
685900.7309	5994502.035
685791.7484	5994497.658
685791.7473	5994497.683
685791.7366	5994497.683
685790.9818	5994516.479
685790.495	5994528.602
685758.3075	5994527.309
685681.5024	5994524.227
685679.1956	5994552.318
685645.582	5994553.409
685643.9079	5994553.341
685643.903	5994553.464
685643.8962	5994553.463
685640.3809	5994577.384
685606.7552	5994582.872
685606.3541	5994582.856
685603.8706	5994644.764
685524.1847	5994641.568
685458.4375	5994638.932
685457.5325	5994661.509
685457.1982	5994669.851
685442.5442	5994669.263
685384.5823	5994666.941
685384.5788	5994667.028
685384.5146	5994667.026
685383.2906	5994697.573
685372.2195	5994697.259
685346.9703	5994696.402
685346.9647	5994696.542
685346.901	5994696.541
685340.7141	5994850.975
685304.4052	5994849.52
685301.9453	5994910.933
685291.4794	5994910.514
685265.7054	5994909.482
685265.7012	5994909.588
685265.5702	5994909.582
685263.0896	5994971.525
685226.8439	5994970.074
685225.9992	5994980.07
685224.2182	5995000.991
685118.3373	5994996.752
685116.63	5994996.643
685116.6283	5994996.684
685116.4933	5994996.679
685115.2755	5995027.112
685058.8924	5995024.856
685042.6042	5995024.204
685042.5996	5995024.318
685042.5934	5995024.317
685041.3545	5995055.29
685004.9848	5995053.835
685004.0814	5995066.155
685002.7054	5995084.765
684967.4391	5995083.355
684966.7432	5995100.759
684966.1455	5995114.275
684929.9066	5995112.826
684929.9046	5995112.875
684929.8315	5995112.872
684927.3613	5995174.661
684889.299	5995173.14
684885.6005	5995265.674
684850.9981	5995264.291
684850.9937	5995264.402
684850.984	5995264.401
684849.7528	5995295.21
684813.525	5995293.763
684813.5184	5995293.926
684813.4408	5995293.923
684812.2034	5995324.894
684739.5307	5995321.991
684738.3133	5995352.472
684731.7865	5995352.212
684701.9597	5995351.02
684701.959	5995351.087
684701.9433	5995351.087
684700.7065	5995382.058
684665.6561	5995380.658
684664.4883	5995380.493
684660.449	5995411.471
684660.4207	5995411.47
684626.8298	5995410.129
684625.5935	5995441.102
684552.9226	5995438.202
684552.9183	5995438.311
684552.9048	5995438.31
684551.6734	5995469.173
684369.9797	5995461.927
684371.2143	5995430.955
684334.91	5995429.508
684333.6757	5995460.48
684297.3093	5995459.03
684294.858	5995520.55
684258.5545	5995519.103
684258.5484	5995519.257
684258.5429	5995519.256
684258.1619	5995528.821
684256.0814	5995581.046
684219.7214	5995579.597
684217.2565	5995641.485
684181.0158	5995640.041
684181.0135	5995640.098
684180.9516	5995640.096
684163.6724	5996072.426
684127.3732	5996070.98
684127.3718	5996071.015
684127.3678	5996071.015
684126.1367	5996101.934
684116.4577	5996101.548
684089.7749	5996100.486
684088.916	5996122.063
684088.5441	5996131.405
684070.5594	5996130.69
684052.1824	5996129.958
684051.7885	5996139.857
