PROV	COUNTY	TOWN	POP	CASES	DEATHS	MORT	FIRST_DAY	LAST_DAY	x	y
Leinster	Louth	Drogheda	19260	214	72	33.6	89	175	674457.7559	5955376.64
Leinster	Louth	Dundalk	10782	224	73	32.5	161	233	670028.7894	5986407.743
Connaught	Mayo	Ballina	7012	728	232	31.8	233	303	489863.3252	5996322.068
Connaught	Mayo	Ballinrobe	2678	110	57	51.8	118	167	485375.7024	5941682.166
Connaught	Mayo	Castlebar	5137	148	58	39.1	165	259	481061.0799	5967427.627
Connaught	Mayo	Clare	2256	0	0	0	0	0	500599.9085	5952323.993
Connaught	Mayo	Westport	4365	90	40	44.4	153	217	466125.244	5961629.728
Leinster	Meath	Kells	4205	330	156	47.2	203	256	640204.498	5955226.573
Leinster	Meath	Navan	5628	38	16	42.1	120	242	652872.8813	5947671.963
Leinster	Meath	Trim	2269	6	5	83.3	233	287	646321.1512	5936262.609
Ulster	Monaghan	Castleblayney	2134	0	0	0	0	0	647718.4587	5999307.708
Ulster	Monaghan	Clones	2877	0	0	0	0	0	615473.1749	6004959.486
Ulster	Monaghan	Monaghan	4130	130	59	45.3	69	145	632370.6918	6013153.915
Leinster	Queen's	Maryborough	3633	0	0	0	0	0	614077.4355	5877273.906
Leinster	Queen's	Mountmellick	4755	5	3	60	205	236	611982.0169	5886721.732
Leinster	Queen's	Mountrath	3000	8	1	12.5	179	270	602324.547	5873642.895
Connaught	Roscommon	Athlone	6393	342	185	54	151	281	570391.2404	5919953.858
Connaught	Roscommon	Boyle	3234	14	8	57.1	291	312	546093.5585	5980658.123
Connaught	Roscommon	Roscommon	3349	116	68	58.6	66	293	553627.1419	5942394.118
Connaught	Sligo	Sligo	14318	392	196	50	247	309	534113.9046	6014424.759
Munster	Tipperary	Caher	3668	116	65	56	103	177	573163.9608	5803239.35
Munster	Tipperary	Carriel-on-suir	11049	266	126	47.3	125	307	607692.2474	5800882.498
Munster	Tipperary	Cashel	8027	0	0	0	0	0	575478.0981	5819097.346
Munster	Tipperary	Clogheen	2049	108	56	51.8	125	171	568559.1128	5792332.03
Munster	Tipperary	Clonmel	13505	440	184	41.8	110	221	589198.1143	5801421.719
Munster	Tipperary	Fethard	3915	10	9	90	115	128	588522.2444	5814222.164
Munster	Tipperary	Nenagh	8618	400	240	60	109	156	554020.5339	5857476.443
Munster	Tipperary	Roscrea	5275	90	39	43.3	148	152	580716.9874	5867960.144
Munster	Tipperary	Templemore	3685	83	35	42.1	146	235	578224.5501	5850075.148
Munster	Tipperary	Thurles	7523	489	259	52.9	135	554	580824.5481	5837356.577
Munster	Tipperary	Tipperary	7370	176	80	45.4	108	357	556929.4348	5814066.745
Ulster	Tyrone	Cookstown	3006	0	0	0	0	0	645567.4601	6057183.086
Ulster	Tyrone	Dungannon	3801	0	0	0	0	0	644691.762	6041924.86
Ulster	Tyrone	Omagh	2947	0	0	0	0	0	609383.2177	6051217.097
Ulster	Tyrone	Strabane	4704	0	0	0	0	0	598700.3887	6076652.207
Munster	Waterford	Cappoquin	2341	17	8	47	143	283	578577.7934	5777946.248
Munster	Waterford	Dungarvan	12382	723	344	47.4	147	282	594512.778	5772355.102
Munster	Waterford	Lismore	3007	91	53	58.2	150	240	572706.9099	5776676.603
Munster	Waterford	Portlaw	3647	72	13	18	161	261	614965.8208	5794431.28
Munster	Waterford	Tallow	2969	35	19	54.2	147	267	568027.0549	5771751.593
Munster	Waterford	Waterford	29288	522	294	56.3	133	278	627838.6866	5790749.296
Leinster	Westmeath	Moate	2095	0	0	0	0	0	585205.0338	5916977.287
Leinster	Westmeath	Mullingar	4569	190	109	57.3	126	180	610163.6799	5932063.7
Leinster	Wexford	Enniscorthy	7016	339	139	41	260	477	665197.4986	5819680.849
Leinster	Wexford	Gorey	3365	298	121	40.6	145	464	682919.9112	5839635.399
Leinster	Wexford	New_Ross	7543	180	96	53.3	75	389	639671.3786	5807089.291
Leinster	Wexford	Wexford	11252	188	76	40.4	275	468	672818.5905	5801541.331
Leinster	Wicklow	Bray	3169	176	68	38.6	276	329	692952.6985	5898516.304
Leinster	Wicklow	Arklow	3254	0	0	0	0	0	691466.8872	5853546.987
Leinster	Wicklow	Wicklow	2794	0	0	0	0	0	698402.4533	5874224.152
